Country;Control of Corruption;Government Effectiveness;Political Stability;Regulatory Quality;Rule of Law;Voice and Accountability
Slovak Republic;0.145947456;0.840291798;0.956688046;0.78785497;0.483718574;0.965620399
Slovenia;0.726809978;0.973970354;0.919429839;0.620738447;0.953715265;0.945217252
Somalia;-1.624680758;-2.218738794;-2.471379042;-2.149858952;-2.33697772;-2.013128519
South Africa;-0.042387795;0.265266657;-0.1757541;0.303562224;0.055837739;0.634024262
South Sudan;-1.711671948;-2.171243429;-2.360760689;-1.685501814;-1.82753861;-1.526183248
Spain;0.48585093;1.177315593;0.287749022;0.785219967;0.896967769;1.019647121
Sri Lanka;-0.366520554;0.008745396;-0.030116195;-0.052126836;0.068625137;-0.370011866
Sudan;-1.502379894;-1.476248264;-2.173540354;-1.500431418;-1.184028506;-1.816781163
Suriname;-0.568461359;-0.356148571;0.209084734;-0.664162695;-0.248711333;0.454388827
Swaziland;-0.324809968;-0.528136253;-0.457414508;-0.503806412;-0.268244952;-1.326126337
Sweden;2.245603323;1.811370373;0.965216994;1.808342934;2.044467211;1.595634937
Switzerland;2.169106483;2.009819984;1.311201453;1.755790114;1.96619904;1.576151729
Syrian Arab Republic;-1.533029914;-1.633895159;-2.938199282;-1.63256824;-1.430650711;-1.848913312
Taiwan. China;0.799015284;1.409849763;0.838746905;1.345824599;1.169390202;0.891566575
Tajikistan;-0.997934997;-0.819396198;-0.866736472;-1.006107926;-1.009642482;-1.512955904
Tanzania;-0.716798782;-0.598871231;-0.448947549;-0.36273241;-0.425351739;-0.211133435
Thailand;-0.400431335;0.356810242;-0.955608547;0.299114883;-0.106115945;-0.690783978
Timor-Leste;-0.690783978;-1.04535675;-0.224154234;-0.966596067;-1.176321149;0.149141431
Togo;-0.712842882;-1.179098129;-0.174645036;-0.820374668;-0.799726844;-0.746671498
Tonga;-0.44640699;-0.329453677;0.934196234;-0.438052535;-0.198030561;0.678281128
Trinidad and Tobago;-0.541697741;0.237128109;0.270998627;0.145442441;-0.143629014;0.486066252
Tunisia;-0.110677086;-0.103892669;-0.867011249;-0.394459426;-0.052563313;0.192142859
Turkey;-0.114704669;0.232910797;-1.275800824;0.330284387;-0.060295328;-0.374394417
Turkmenistan;-1.262816906;-0.874373913;-0.10645894;-2.091221809;-1.390521407;-2.198236942
Tuvalu;-0.006111724;-0.969089627;1.405838847;-0.718884468;0.337982178;1.098398209
Uganda;-1.051720142;-0.482986987;-0.861963987;-0.242070764;-0.340803623;-0.586326361
Ukraine;-0.980087221;-0.513784945;-1.93292129;-0.579765201;-0.801214695;-0.03110612
United Arab Emirates;1.123857498;1.536900878;0.755403161;1.133450985;0.707785428;-1.066986322
United Kingdom;1.86739254;1.738755345;0.556856215;1.855617762;1.80505681;1.270089984
United States;1.378527403;1.461995363;0.699094892;1.297576904;1.603705764;1.075169563
Uruguay;1.298153877;0.540124297;0.989899695;0.452428162;0.675224543;1.121649504
Uzbekistan;-1.162009239;-0.682054758;-0.420324534;-1.68539834;-1.065140367;-1.901723504
Vanuatu;-0.177127227;-0.786365569;0.568927348;-0.373071641;0.034484182;0.723045766
Venezuela. RB;-1.328255534;-1.220160961;-1.007377863;-1.857714057;-1.990581155;-1.121985078
Vietnam;-0.447043449;0.076964222;0.010676499;-0.496353686;-0.268542081;-1.328914762
Yemen. Rep.;-1.448111892;-1.640890718;-2.632357836;-1.101016283;-1.237936735;-1.493852854
Zambia;-0.405138791;-0.55447948;0.085539386;-0.422343552;-0.252827018;-0.112754211
Zimbabwe;-1.286892056;-1.147968769;-0.577251554;-1.646901488;-1.349086285;-1.192693949
